2026-04-13 10:07:53 | INFO     | Pipeline | Opening camera source: 0
2026-04-13 10:08:22 | INFO     | Pipeline | Camera opened: 640x480 @ 30.0 FPS
2026-04-13 10:08:22 | INFO     | Pipeline | Motion engine: MOG2 (history=200, thresh=50)
2026-04-13 10:08:22 | DEBUG    | Pipeline | ROI: x=320 y=144 w=320 h=264
2026-04-13 10:08:22 | INFO     | Dashboard | Dashboard started. Press Q to quit.
2026-04-13 10:08:23 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=1
2026-04-13 10:08:23 | DEBUG    | Pipeline | Contours total=4, vehicle candidates=0
2026-04-13 10:08:23 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:23 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:23 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:23 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:23 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:23 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:23 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:23 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:23 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:23 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:23 | DEBUG    | Tracker | Track #0 removed (lost for 10 frames)
2026-04-13 10:08:23 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:23 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:23 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:23 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:23 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:23 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:23 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:23 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:23 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:23 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:23 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:23 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:24 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:24 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:24 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:24 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:24 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:24 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:24 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-13 10:08:24 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:24 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:24 | DEBUG    | Pipeline | Contours total=2, vehicle candidates=0
2026-04-13 10:08:24 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-13 10:08:24 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-13 10:08:24 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-13 10:08:24 | DEBUG    | Pipeline | Contours total=2, vehicle candidates=0
2026-04-13 10:08:24 | DEBUG    | Pipeline | Contours total=4, vehicle candidates=0
2026-04-13 10:08:24 | DEBUG    | Pipeline | Contours total=3, vehicle candidates=0
2026-04-13 10:08:24 | DEBUG    | Pipeline | Contours total=3, vehicle candidates=0
2026-04-13 10:08:24 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:24 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:24 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:24 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:24 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:24 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:24 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:24 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:24 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:24 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:24 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:24 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:24 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:24 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:25 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:25 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-13 10:08:25 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
